x,y,Cell type,CD4 intensity
15.0,2.0,T Helper Cell,4.461036
36.75,6.75,T Helper Cell,9.262379
11.75,8.25,T Helper Cell,6.959003
65.75,9.0,T Helper Cell,16.364574
22.25,10.75,T Helper Cell,4.528144
67.0,17.75,T Helper Cell,23.410162
15.75,20.0,T Helper Cell,3.175609
14.0,32.5,T Helper Cell,5.331523
4.5,47.5,T Helper Cell,7.207738
1.75,60.0,T Helper Cell,10.312316
31.75,70.0,T Helper Cell,5.506264
7.5,71.25,T Helper Cell,14.508109
1.25,296.25,T Helper Cell,10.167079
78.0,36.0,T Helper Cell,5.521604
407.25,46.25,T Helper Cell,3.323565
425.75,63.0,T Helper Cell,7.780086
105.75,66.5,T Helper Cell,7.464241
115.5,66.5,T Helper Cell,15.622787
435.75,75.0,T Helper Cell,11.389042
118.0,77.75,T Helper Cell,8.827729
222.5,79.5,T Helper Cell,11.39133
232.0,81.5,T Helper Cell,4.022148
242.25,84.5,T Helper Cell,4.890683
372.75,87.25,T Helper Cell,4.645046
222.0,92.75,T Helper Cell,8.846828
262.25,91.0,T Helper Cell,3.193761
95.5,91.25,T Helper Cell,3.145985
104.0,90.5,T Helper Cell,4.206703
233.5,95.25,T Helper Cell,5.135679
357.75,91.75,T Helper Cell,5.965061
242.0,92.25,T Helper Cell,12.351843
110.0,95.75,T Helper Cell,4.159292
245.75,97.75,T Helper Cell,9.781447
261.0,101.75,T Helper Cell,7.145412
392.75,100.0,T Helper Cell,3.28701
219.25,100.5,T Helper Cell,9.473474
361.0,101.25,T Helper Cell,3.965537
217.75,107.5,T Helper Cell,14.349751
364.25,106.25,T Helper Cell,5.154673
230.5,111.5,T Helper Cell,16.259247
353.75,112.75,T Helper Cell,3.212131
395.5,110.0,T Helper Cell,11.042966
448.75,112.0,T Helper Cell,9.183001
217.75,114.0,T Helper Cell,12.438574
387.75,112.0,T Helper Cell,5.617463
265.25,113.5,T Helper Cell,16.226847
238.0,116.0,T Helper Cell,3.604278
343.25,115.25,T Helper Cell,11.026839
402.25,120.75,T Helper Cell,5.865381
389.75,120.75,T Helper Cell,13.501279
223.25,121.75,T Helper Cell,23.542152
266.25,125.25,T Helper Cell,6.622861
453.0,122.0,T Helper Cell,8.957883
235.5,125.25,T Helper Cell,8.421149
217.5,126.25,T Helper Cell,11.785316
456.0,126.25,T Helper Cell,15.788954
422.25,127.75,T Helper Cell,6.729019
227.75,127.5,T Helper Cell,26.460993
407.75,129.0,T Helper Cell,3.606007
428.75,130.25,T Helper Cell,11.118525
455.25,136.5,T Helper Cell,5.003784
464.0,132.0,T Helper Cell,7.638556
220.5,133.5,T Helper Cell,23.428173
420.25,136.0,T Helper Cell,3.018807
226.75,139.0,T Helper Cell,9.072763
279.5,138.0,T Helper Cell,13.876109
465.25,141.5,T Helper Cell,7.190172
289.25,139.5,T Helper Cell,5.827306
90.5,143.0,T Helper Cell,9.336961
281.5,145.5,T Helper Cell,5.168661
246.5,147.0,T Helper Cell,3.912701
295.0,151.0,T Helper Cell,3.639134
253.75,153.75,T Helper Cell,8.545865
243.5,154.5,T Helper Cell,8.457408
253.0,161.75,T Helper Cell,12.867415
245.0,164.0,T Helper Cell,5.410064
279.25,163.75,T Helper Cell,3.404031
239.5,167.0,T Helper Cell,5.69391
415.75,170.75,T Helper Cell,3.252446
282.5,169.0,T Helper Cell,10.7385
252.5,168.75,T Helper Cell,13.460319
263.25,171.75,T Helper Cell,4.321795
278.75,175.5,T Helper Cell,5.327201
254.5,178.25,T Helper Cell,4.307196
236.0,177.75,T Helper Cell,6.673883
