object_id,x,y,object_type,Celltype,TCM contributions,Cell centres
0,138.0564398001,232.0355341386,point,B,,True
1,103.8493041917,154.9504594707,point,B,,True
2,141.9874587812,179.353158362,point,B,,True
3,65.7000537,167.5387653441,point,B,,True
4,168.5902951215,186.8254196952,point,A,,True
5,115.8015153024,267.4947516635,point,A,,True
6,65.1774270715,178.935495389,point,A,,True
7,94.4621143733,148.2144544346,point,A,,True
8,50.2160049656,167.8050316018,point,B,,True
9,140.4422449953,144.2787415959,point,A,,True
10,53.5993099338,244.1362122901,point,A,,True
11,79.937648062,242.247134442,point,A,,True
12,114.6948509483,267.6097066874,point,B,,True
13,166.9693365617,213.4403050642,point,A,,True
14,32.1631767115,209.7985844938,point,B,,True
15,133.3984811822,260.4599932945,point,A,,True
16,125.1290520469,145.2455689309,point,A,,True
17,66.4012134397,153.8470260025,point,B,,True
18,132.4701021929,226.5619096165,point,B,,True
19,75.8542739513,248.4240795765,point,A,,True
20,64.5507909108,173.1571891522,point,B,,True
21,127.6739668479,247.202087891,point,B,,True
22,142.6844047491,149.9121852521,point,A,,True
23,83.9483972555,150.5365395599,point,A,,True
24,139.9725877692,190.2919820812,point,A,,True
25,133.5632269452,145.4091690161,point,B,,True
26,132.8317535051,153.978531343,point,A,,True
27,100.1644502978,241.5883928648,point,B,,True
28,123.8894683931,155.8712442963,point,B,,True
29,77.6373339004,247.9904316818,point,B,,True
30,133.3515197905,160.2229538024,point,A,,True
31,135.8929926086,241.9386608724,point,B,,True
32,141.9005288542,209.4846739507,point,A,,True
33,149.2494838279,168.3243716577,point,A,,True
34,43.8389927213,195.6047165281,point,B,,True
35,147.9168605294,177.8119605687,point,A,,True
36,72.4069666323,230.5480379463,point,B,,True
37,136.5838344077,247.1065372854,point,A,,True
38,62.2662546241,215.9883103401,point,A,,True
39,53.8160321907,195.0709060082,point,A,,True
40,128.5841177192,137.6643576647,point,A,,True
41,91.4365769876,153.0223301618,point,A,,True
42,48.3163824762,176.6718675674,point,B,,True
43,159.1257929619,186.1856986085,point,A,,True
44,157.0834187138,200.0360304915,point,B,,True
45,61.9818024603,171.3361503052,point,A,,True
46,55.1722443624,175.6013214137,point,A,,True
47,121.0176937932,164.7594498485,point,A,,True
48,87.0403353099,131.8508852642,point,A,,True
49,116.7680983398,238.7693255399,point,A,,True
50,69.9992490657,143.5999135295,point,B,,True
51,77.5426568736,255.2627749224,point,B,,True
52,57.8019546598,183.3442369113,point,A,,True
53,52.1202805995,209.323337438,point,B,,True
54,141.621897454,192.2381717656,point,A,,True
55,70.0740385702,249.4238316372,point,B,,True
56,163.6321589923,223.6190470354,point,B,,True
57,138.1925022762,239.6722228042,point,A,,True
58,98.3080560587,262.905346029,point,B,,True
59,141.0549258001,172.3061189824,point,B,,True
60,50.4950678176,243.7661906525,point,A,,True
61,127.136313458,145.2979863629,point,B,,True
62,62.7516296174,167.9286538298,point,A,,True
63,138.4517793471,219.0808862983,point,B,,True
64,44.2871972949,178.223416674,point,A,,True
65,103.357173673,145.1747945449,point,A,,True
66,57.9542649719,178.482317479,point,B,,True
67,137.4863890364,234.9241538361,point,B,,True
68,58.2660873233,225.1349421754,point,A,,True
69,139.2335488961,161.8331874325,point,A,,True
70,78.6912723838,252.5139086602,point,A,,True
71,166.4379303518,179.9781689032,point,A,,True
72,73.974386563,141.4108817102,point,B,,True
73,142.106362613,182.0725686626,point,A,,True
74,168.0490403365,209.0425578124,point,A,,True
75,52.7289801141,199.5168949964,point,B,,True
76,43.3268065574,164.3829791926,point,B,,True
77,146.5149508022,147.7732915166,point,A,,True
78,135.8711136904,169.2705949238,point,A,,True
79,162.4420551921,188.0433531101,point,A,,True
80,56.4564073308,202.9842611682,point,A,,True
81,141.7085959648,198.2090624834,point,A,,True
82,99.9126133612,266.4942635754,point,A,,True
83,58.185396946,175.3369463407,point,B,,True
84,108.9881381953,263.3297279284,point,B,,True
85,140.6397877734,158.3196199031,point,B,,True
86,137.6929330626,224.252548638,point,B,,True
87,61.1182086801,145.2154596923,point,A,,True
88,145.2668582913,189.6605146463,point,B,,True
89,144.5241346001,243.2806126883,point,B,,True
90,86.3559192585,145.0234898863,point,A,,True
91,46.6779944273,188.8297865747,point,A,,True
92,109.6432598698,146.9881754909,point,A,,True
93,78.0319163365,266.4167997973,point,A,,True
94,69.9099245873,261.0177729062,point,B,,True
95,53.1930744541,156.0067837518,point,A,,True
96,77.9082807339,248.5779885834,point,B,,True
97,63.4461959804,162.9484509413,point,A,,True
98,73.1090923358,253.6970515773,point,B,,True
99,75.4030601876,236.7835518232,point,B,,True
100,133.0036384061,240.7536454293,point,A,,True
101,137.4124305228,236.7073625153,point,A,,True
102,148.1093460949,174.1092452078,point,B,,True
103,54.2372522921,167.9172039267,point,A,,True
104,88.6695414563,242.1576664538,point,B,,True
105,64.9008552941,246.3693939702,point,A,,True
106,148.0842022924,163.1428265241,point,A,,True
107,41.948165396,162.5999283844,point,B,,True
108,111.0410979823,241.2641256546,point,A,,True
109,52.7798129863,246.0438205056,point,A,,True
110,140.2753453507,187.5347552884,point,B,,True
111,59.2270454609,202.7467151405,point,A,,True
112,58.5346633069,235.7348303656,point,B,,True
113,62.1558857588,237.2561455813,point,A,,True
